Register_Number,Paper_Code,Total_Score,Q001_Status,Q002_Status,Q003_Status,Q004_Status,Q005_Status,Q006_Status,Q007_Status,Q008_Status,Q009_Status,Q010_Status,Q011_Status,Q012_Status,Q013_Status,Q014_Status,Q015_Status,Q016_Status,Q017_Status,Q018_Status,Q019_Status,Q020_Status,Q021_Status,Q022_Status,Q023_Status,Q024_Status,Q025_Status,Q026_Status,Q027_Status,Q028_Status,Q029_Status,Q030_Status,Q031_Status,Q032_Status,Q033_Status,Q034_Status,Q035_Status,Q036_Status,Q037_Status,Q038_Status,Q039_Status,Q040_Status,Q041_Status,Q042_Status,Q043_Status,Q044_Status,Q045_Status,Q046_Status,Q047_Status,Q048_Status,Q049_Status,Q050_Status,Q051_Status,Q052_Status,Q053_Status,Q054_Status,Q055_Status,Q056_Status,Q057_Status,Q058_Status,Q059_Status,Q060_Status,Q061_Status,Q062_Status,Q063_Status,Q064_Status,Q065_Status,Q066_Status,Q067_Status,Q068_Status,Q069_Status,Q070_Status,Q071_Status,Q072_Status,Q073_Status,Q074_Status,Q075_Status,Q076_Status,Q077_Status,Q078_Status,Q079_Status,Q080_Status,Q081_Status,Q082_Status,Q083_Status,Q084_Status,Q085_Status,Q086_Status,Q087_Status,Q088_Status,Q089_Status,Q090_Status,Q091_Status,Q092_Status,Q093_Status,Q094_Status,Q095_Status,Q096_Status,Q097_Status,Q098_Status,Q099_Status,Q100_Status,Rank_Range
210171130,B1,80,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Wrong,Wrong,Wrong,Right,Right,Right,Right,Wrong,Blank,Wrong,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Wrong,Grace,Right,Right,Wrong,Grace,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Grace,Right,1
201171037,A1,78,Wrong,Right,Wrong,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Grace,Right,Right,Wrong,Right,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Grace,Right,Right,Wrong,Grace,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,2-3
201171046,B1,78,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Wrong,Right,Right,Wrong,Wrong,Right,Right,Right,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Wrong,Wrong,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Grace,Wrong,Right,Wrong,Grace,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Grace,Right,2-3
201171175,C1,76,Right,Right,Right,Wrong,Wrong,Wrong,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Right,Wrong,Grace,Right,Right,Wrong,Grace,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Right,Grace,Right,Right,Blank,Right,Right,Right,Right,Right,Right,Wrong,Right,Wrong,Wrong,Wrong,Right,Right,Right,4-6
206171354,B1,76,Right,Right,Right,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Wrong,Right,Right,Right,Wrong,Right,Wrong,Wrong,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Right,Right,Wrong,Wrong,Wrong,Right,Wrong,Right,Right,Wrong,Right,Right,Right,Wrong,Right,Right,Grace,Wrong,Right,Wrong,Grace,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Wrong,Grace,Right,4-6
208171053,A1,76,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Grace,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Blank,Wrong,Wrong,Right,Wrong,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Right,Wrong,Right,Wrong,Wrong,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Wrong,Grace,Wrong,Wrong,Wrong,Grace,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,4-6
254171066,B1,74,Right,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Wrong,Right,Wrong,Wrong,Right,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Wrong,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Wrong,Right,Wrong,Right,Wrong,Grace,Right,Right,Right,Grace,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Grace,Right,7-10
208171061,A1,74,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Grace,Right,Right,Wrong,Right,Right,Right,Wrong,Wrong,Wrong,Wrong,Right,Right,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Wrong,Wrong,Wrong,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Wrong,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Grace,Wrong,Wrong,Right,Grace,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Right,7-10
257171169,A1,74,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Grace,Right,Right,Right,Right,Right,Wrong,Wrong,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Right,Wrong,Right,Right,Right,Wrong,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Wrong,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Wrong,Right,Right,Right,Wrong,Wrong,Wrong,Grace,Wrong,Right,Wrong,Grace,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,7-10
203171157,A1,74,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Grace,Right,Right,Wrong,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Blank,Wrong,Right,Right,Right,Wrong,Wrong,Right,Right,Right,Right,Right,Right,Wrong,Wrong,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Wrong,Right,Wrong,Grace,Wrong,Right,Right,Grace,Wrong,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,7-10
215171357,A1,73,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Grace,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Right,Right,Right,Wrong,Right,Right,Wrong,Wrong,Right,Wrong,Wrong,Wrong,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Right,Wrong,Right,Wrong,Right,Wrong,Wrong,Wrong,Right,Wrong,Wrong,Right,Right,Right,Wrong,Wrong,Wrong,Grace,Right,Wrong,Wrong,Grace,Right,Right,Wrong,Right,Right,Right,Right,Right,Wrong,Wrong,Right,Right,11-12
